timestamp,scale_factor,query,execution_time_ms,gpu_name,memory_gb
20260223_111504,SF-1,Q1,25,Apple M3 Ultra,96
20260223_111504,SF-1,Q3,29,Apple M3 Ultra,96
20260223_111504,SF-1,Q6,16,Apple M3 Ultra,96
20260223_111504,SF-1,Q9,58,Apple M3 Ultra,96
20260223_111504,SF-1,Q13,26,Apple M3 Ultra,96
20260223_111634,SF-10,Q1,131,Apple M3 Ultra,96
20260223_111634,SF-10,Q3,87,Apple M3 Ultra,96
20260223_111634,SF-10,Q6,51,Apple M3 Ultra,96
20260223_111634,SF-10,Q9,303,Apple M3 Ultra,96
20260223_111634,SF-10,Q13,197,Apple M3 Ultra,96
20260223_111921,SF-100,Q1,1128,Apple M3 Ultra,96
20260223_111921,SF-100,Q3,732,Apple M3 Ultra,96
20260223_111921,SF-100,Q6,294,Apple M3 Ultra,96
20260223_111921,SF-100,Q9,1777,Apple M3 Ultra,96
20260223_111921,SF-100,Q13,1303,Apple M3 Ultra,96
20260301_122111,SF-10,Q1,611.34,Apple M1,16
20260301_122111,SF-10,Q3,273.39,Apple M1,16
20260301_122111,SF-10,Q6,104.15,Apple M1,16
20260301_122111,SF-10,Q9,856.48,Apple M1,16
20260301_122111,SF-10,Q13,766.67,Apple M1,16
20260301_122205,SF-10,Q1,676,Apple M1,16
20260301_122205,SF-10,Q3,277,Apple M1,16
20260301_122205,SF-10,Q6,137,Apple M1,16
20260301_122205,SF-10,Q9,824,Apple M1,16
20260301_122205,SF-10,Q13,776,Apple M1,16
20260403_111039,SF-1,Q1,53.61,Apple M1,16
20260403_111039,SF-1,Q2,14.21,Apple M1,16
20260403_111039,SF-1,Q3,30.61,Apple M1,16
20260403_111039,SF-1,Q4,26.18,Apple M1,16
20260403_111039,SF-1,Q5,54.68,Apple M1,16
20260403_111039,SF-1,Q6,15.21,Apple M1,16
20260403_111039,SF-1,Q7,29.67,Apple M1,16
20260403_111039,SF-1,Q8,28.63,Apple M1,16
20260403_111039,SF-1,Q9,77.22,Apple M1,16
20260403_111039,SF-1,Q10,69.57,Apple M1,16
20260403_111039,SF-1,Q11,8.51,Apple M1,16
20260403_111039,SF-1,Q12,29.13,Apple M1,16
20260403_111039,SF-1,Q13,76.46,Apple M1,16
20260403_111039,SF-1,Q14,57.90,Apple M1,16
20260403_111039,SF-1,Q15,30.50,Apple M1,16
20260403_111039,SF-1,Q16,18.78,Apple M1,16
20260403_111039,SF-1,Q17,24.00,Apple M1,16
20260403_111039,SF-1,Q18,58.97,Apple M1,16
20260403_111039,SF-1,Q19,59.81,Apple M1,16
20260403_111039,SF-1,Q20,34.46,Apple M1,16
20260403_111039,SF-1,Q21,78.73,Apple M1,16
20260403_111039,SF-1,Q22,20.89,Apple M1,16
20260403_111143,SF-10,Q1,560.75,Apple M1,16
20260403_111143,SF-10,Q2,75.25,Apple M1,16
20260403_111143,SF-10,Q3,271.60,Apple M1,16
20260403_111143,SF-10,Q4,250.33,Apple M1,16
20260403_111143,SF-10,Q5,274.39,Apple M1,16
20260403_111143,SF-10,Q6,112.13,Apple M1,16
20260403_111143,SF-10,Q7,281.69,Apple M1,16
20260403_111143,SF-10,Q8,311.22,Apple M1,16
20260403_111143,SF-10,Q9,771.75,Apple M1,16
20260403_111143,SF-10,Q10,382.29,Apple M1,16
20260403_111143,SF-10,Q11,44.11,Apple M1,16
20260403_111143,SF-10,Q12,254.14,Apple M1,16
20260403_111143,SF-10,Q13,725.54,Apple M1,16
20260403_111143,SF-10,Q14,190.98,Apple M1,16
20260403_111143,SF-10,Q15,278.15,Apple M1,16
20260403_111143,SF-10,Q16,115.95,Apple M1,16
20260403_111143,SF-10,Q17,256.22,Apple M1,16
20260403_111143,SF-10,Q18,461.98,Apple M1,16
20260403_111143,SF-10,Q19,357.13,Apple M1,16
20260403_111143,SF-10,Q20,230.41,Apple M1,16
20260403_111143,SF-10,Q21,658.91,Apple M1,16
20260403_111143,SF-10,Q22,112.23,Apple M1,16
20260403_125812,SF-1,Q1,55.38,Apple M1,16
20260403_125812,SF-1,Q2,15.58,Apple M1,16
20260403_125812,SF-1,Q3,29.77,Apple M1,16
20260403_125812,SF-1,Q4,25.07,Apple M1,16
20260403_125812,SF-1,Q5,28.20,Apple M1,16
20260403_125812,SF-1,Q6,13.25,Apple M1,16
20260403_125812,SF-1,Q7,29.32,Apple M1,16
20260403_125812,SF-1,Q8,27.57,Apple M1,16
20260403_125812,SF-1,Q9,71.40,Apple M1,16
20260403_125812,SF-1,Q10,58.10,Apple M1,16
20260403_125812,SF-1,Q11,7.19,Apple M1,16
20260403_125812,SF-1,Q12,28.20,Apple M1,16
20260403_125812,SF-1,Q13,86.39,Apple M1,16
20260403_125812,SF-1,Q14,23.88,Apple M1,16
20260403_125812,SF-1,Q15,30.00,Apple M1,16
20260403_125812,SF-1,Q16,18.17,Apple M1,16
20260403_125812,SF-1,Q17,24.23,Apple M1,16
20260403_125812,SF-1,Q18,55.40,Apple M1,16
20260403_125812,SF-1,Q19,70.05,Apple M1,16
20260403_125812,SF-1,Q20,30.64,Apple M1,16
20260403_125812,SF-1,Q21,68.55,Apple M1,16
20260403_125812,SF-1,Q22,19.81,Apple M1,16
20260403_125844,SF-10,Q1,559.22,Apple M1,16
20260403_125844,SF-10,Q2,69.33,Apple M1,16
20260403_125844,SF-10,Q3,268.57,Apple M1,16
20260403_125844,SF-10,Q4,256.42,Apple M1,16
