timestamp,scale_factor,query,cpu_parse_ms,pso_ms,buffer_alloc_ms,gpu_exec_ms,cpu_post_ms,total_exec_ms,gpu_name,memory_gb
20260424_123544,SF-1,Q1,1354.968,0.171,0.000,20.947,0.002,20.949,Apple M1,16
20260424_123544,SF-1,Q2,185.573,0.276,0.000,0.160,0.699,0.859,Apple M1,16
20260424_123544,SF-1,Q3,1567.256,0.766,0.000,2.823,0.046,2.868,Apple M1,16
20260424_123544,SF-1,Q4,1426.340,1.483,0.000,2.525,0.000,2.525,Apple M1,16
20260424_123544,SF-1,Q5,1259.406,0.785,0.000,1.312,0.023,1.335,Apple M1,16
20260424_123544,SF-1,Q6,1346.080,0.206,0.000,1.391,0.001,1.392,Apple M1,16
20260424_123544,SF-1,Q7,1482.126,0.290,0.000,4.233,0.004,4.237,Apple M1,16
20260424_123544,SF-1,Q8,1395.300,0.525,0.000,2.926,0.004,2.930,Apple M1,16
20260424_123544,SF-1,Q9,1778.472,0.369,0.000,20.308,0.042,20.351,Apple M1,16
20260424_123544,SF-1,Q10,1277.236,0.255,0.000,1.283,0.433,1.716,Apple M1,16
20260424_123544,SF-1,Q11,138.340,0.140,0.000,0.227,0.141,0.368,Apple M1,16
20260424_123544,SF-1,Q12,1597.202,1.050,0.000,3.004,0.000,3.004,Apple M1,16
20260424_123544,SF-1,Q13,441.528,0.238,0.000,22.356,0.034,22.390,Apple M1,16
20260424_123544,SF-1,Q14,1192.263,0.229,0.000,1.819,0.000,1.819,Apple M1,16
20260424_123544,SF-1,Q15,1338.716,0.144,0.000,0.835,0.035,0.870,Apple M1,16
20260424_123544,SF-1,Q16,172.320,0.471,0.000,1.527,4.142,5.669,Apple M1,16
20260424_123544,SF-1,Q17,962.821,0.222,0.000,3.936,0.000,3.936,Apple M1,16
20260424_123544,SF-1,Q18,1115.716,0.252,0.000,3.939,0.142,4.082,Apple M1,16
20260424_123544,SF-1,Q19,1841.479,0.272,0.000,4.857,0.000,4.857,Apple M1,16
20260424_123544,SF-1,Q20,1232.578,0.237,0.000,0.957,0.086,1.043,Apple M1,16
20260424_123544,SF-1,Q21,1388.391,0.236,0.000,6.080,0.091,6.170,Apple M1,16
20260424_123544,SF-1,Q22,172.055,0.270,0.000,3.975,0.004,3.979,Apple M1,16
20260425_123854,SF-1,Q1,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123854,SF-1,Q2,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123854,SF-1,Q3,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123854,SF-1,Q4,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123854,SF-1,Q5,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123854,SF-1,Q6,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123854,SF-1,Q7,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123854,SF-1,Q8,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123854,SF-1,Q9,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123854,SF-1,Q10,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123854,SF-1,Q11,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123854,SF-1,Q12,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123854,SF-1,Q13,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123854,SF-1,Q14,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123854,SF-1,Q15,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123854,SF-1,Q16,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123854,SF-1,Q17,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123854,SF-1,Q18,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123854,SF-1,Q19,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123854,SF-1,Q20,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123854,SF-1,Q21,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123854,SF-1,Q22,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q1,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q2,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q3,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q4,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q5,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q6,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q7,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q8,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q9,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q10,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q11,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q12,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q13,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q14,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q15,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q16,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q17,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q18,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q19,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q20,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q21,0.000,0,0,0.000,0.000,0.000,Apple M1,16
20260425_123929,SF-10,Q22,0.000,0,0,0.000,0.000,0.000,Apple M1,16
