timestamp,scale_factor,query,execution_time_ms
20251103_164713,SF-1,Q1,46
20251103_164713,SF-1,Q13,121
20251103_164713,SF-1,Q3,28
20251103_164713,SF-1,Q6,2
20251103_164713,SF-1,Q9,113
20251103_153654,SF-10,Q1,229
20251103_153654,SF-10,Q13,1687
20251103_153654,SF-10,Q3,399
20251103_153654,SF-10,Q6,23
20251103_153654,SF-10,Q9,1114
20251105_100228,SF-1,Q1,31
20251105_100228,SF-1,Q3,38
20251105_100228,SF-1,Q6,2
20251105_100228,SF-1,Q9,150
20251105_100228,SF-1,Q13,101
20251105_115012,SF-10,Q1,307
20251105_115012,SF-10,Q3,500
20251105_115012,SF-10,Q6,21
20251105_115012,SF-10,Q9,1134
20251105_115012,SF-10,Q13,1790
20251225_161937,SF-1,Q1,36
20251225_161937,SF-1,Q3,30
20251225_161937,SF-1,Q6,3
20251225_161937,SF-1,Q9,89
20251225_161937,SF-1,Q13,69
20251225_162014,SF-10,Q1,332
20251225_162014,SF-10,Q3,614
20251225_162014,SF-10,Q6,35
20251225_162014,SF-10,Q9,1255
20251225_162014,SF-10,Q13,2385
20251225_191707,SF-1,Q1,91
20251225_191707,SF-1,Q3,117
20251225_191707,SF-1,Q6,8
20251225_191707,SF-1,Q9,489
20251225_191707,SF-1,Q13,166
20251225_191807,SF-10,Q1,493
20251225_191807,SF-10,Q3,2248
20251225_191807,SF-10,Q6,37
20251225_191807,SF-10,Q9,1666
20251225_191807,SF-10,Q13,2365
20260102_111137,SF-1,Q1,39
20260102_111137,SF-1,Q3,253
20260102_111137,SF-1,Q6,2
20260102_111137,SF-1,Q9,163
20260102_111137,SF-1,Q13,216
20260205_102718,SF-1,Q1,46
20260205_102718,SF-1,Q3,45
20260205_102718,SF-1,Q6,2
20260205_102718,SF-1,Q9,98
20260205_102718,SF-1,Q13,97
