timestamp,scale_factor,query,execution_time_ms
20251103_162622,SF-1,Q1,89
20251103_162622,SF-1,Q13,102
20251103_162622,SF-1,Q3,61
20251103_162622,SF-1,Q6,46
20251103_162622,SF-1,Q9,113
20251103_162622,SF-10,Q1,591
20251103_162622,SF-10,Q13,822
20251103_162622,SF-10,Q3,324
20251103_162622,SF-10,Q6,183
20251103_162622,SF-10,Q9,929
20251105_115858,SF-1,Q1,0
20251105_115858,SF-1,Q3,0
20251105_115858,SF-1,Q6,0
20251105_115858,SF-1,Q9,0
20251105_115858,SF-1,Q13,0
20251105_115950,SF-1,Q1,82
20251105_115950,SF-1,Q3,57
20251105_115950,SF-1,Q6,44
20251105_115950,SF-1,Q9,102
20251105_115950,SF-1,Q13,102
20251105_120106,SF-1,Q1,87
20251105_120106,SF-1,Q3,64
20251105_120106,SF-1,Q6,48
20251105_120106,SF-1,Q9,105
20251105_120106,SF-1,Q13,109
20251105_120200,SF-1,Q1,81
20251105_120200,SF-1,Q3,59
20251105_120200,SF-1,Q6,46
20251105_120200,SF-1,Q9,104
20251105_120200,SF-1,Q13,99
20251105_120253,SF-10,Q1,604
20251105_120253,SF-10,Q3,320
20251105_120253,SF-10,Q6,165
20251105_120253,SF-10,Q9,843
20251105_120253,SF-10,Q13,754
20251106_193843,SF-1,Q1,57.36
20251106_193843,SF-1,Q3,27.25
20251106_193843,SF-1,Q6,12.53
20251106_193843,SF-1,Q9,76.84
20251106_193843,SF-1,Q13,69.86
20251106_193922,SF-10,Q1,575.55
20251106_193922,SF-10,Q3,288.84
20251106_193922,SF-10,Q6,102.13
20251106_193922,SF-10,Q9,866.69
20251106_193922,SF-10,Q13,774.39
20251106_194141,SF-1,Q1,51.76
20251106_194141,SF-1,Q3,24.75
20251106_194141,SF-1,Q6,11.59
20251106_194141,SF-1,Q9,82.72
20251106_194141,SF-1,Q13,71.45
20251106_194156,SF-1,Q1,65
20251106_194156,SF-1,Q3,24
20251106_194156,SF-1,Q6,11
20251106_194156,SF-1,Q9,81
20251106_194156,SF-1,Q13,70
20251225_115637,SF-1,Q1,50.02
20251225_115637,SF-1,Q3,25.89
20251225_115637,SF-1,Q6,11.94
20251225_115637,SF-1,Q9,70.75
20251225_115637,SF-1,Q13,66.68
20251225_115637,SF-10,Q1,554.06
20251225_115637,SF-10,Q3,256.00
20251225_115637,SF-10,Q6,97.97
20251225_115637,SF-10,Q9,762.17
20251225_115637,SF-10,Q13,700.77
20251225_161546,SF-1,Q1,53.13
20251225_161546,SF-1,Q3,26.74
20251225_161546,SF-1,Q6,11.66
20251225_161546,SF-1,Q9,71.01
20251225_161546,SF-1,Q13,64.44
20251225_161546,SF-10,Q1,558.25
20251225_161546,SF-10,Q3,258.59
20251225_161546,SF-10,Q6,104.20
20251225_161546,SF-10,Q9,796.00
20251225_161546,SF-10,Q13,719.53
20251225_191603,SF-1,Q1,64
20251225_191603,SF-1,Q3,28
20251225_191603,SF-1,Q6,12
20251225_191603,SF-1,Q9,76
20251225_191603,SF-1,Q13,71
20251225_191611,SF-10,Q1,574
20251225_191611,SF-10,Q3,276
20251225_191611,SF-10,Q6,102
20251225_191611,SF-10,Q9,1461
20251225_191611,SF-10,Q13,805
20260102_105609,SF-1,Q1,51.03
20260102_105609,SF-1,Q3,26.31
20260102_105609,SF-1,Q6,12.43
20260102_105609,SF-1,Q9,70.92
20260102_105609,SF-1,Q13,68.20
20260102_111109,SF-1,Q1,55.11
20260102_111109,SF-1,Q3,27.85
20260102_111109,SF-1,Q6,11.40
20260102_111109,SF-1,Q9,73.14
20260102_111109,SF-1,Q13,64.09
