timestamp,scale_factor,query,gpu_time_ms,wall_clock_ms,cpu_merge_ms,execution_time_gpu_cpu_ms
20251103_162527,SF-1,Q1,35.22,41.78,0.0,35.22
20251103_162527,SF-1,Q13,35.13,47.65,1.89,37.02
20251103_162527,SF-1,Q3,10.07,21.64,1.47,11.540000000000001
20251103_162527,SF-1,Q6,1.86,4.49,0.0,1.86
20251103_162527,SF-1,Q9,32.35,55.15,0.02,32.370000000000005
20251103_162527,SF-10,Q1,171.67,350.39,0.0,171.67
20251103_162527,SF-10,Q13,278.96,483.53,26.43,305.39
20251103_162527,SF-10,Q3,45.41,546.58,20.25,65.66
20251103_162527,SF-10,Q6,11.14,164.8,0.0,11.14
20251103_162527,SF-10,Q9,390.81,876.98,0.14,390.95
20251105_130558,SF-1,Q1,31.35,35.74,0.00,31.35
20251105_130558,SF-1,Q3,11.24,27.76,1.22,12.46
20251105_130558,SF-1,Q6,1.72,4.96,0.00,1.72
20251105_130558,SF-1,Q9,30.22,38.93,0.02,30.24
20251105_130558,SF-1,Q13,32.74,41.99,1.87,34.61
20251105_130558,SF-10,Q1,173.00,312.70,0.02,173.02
20251105_130558,SF-10,Q3,43.60,346.24,18.49,62.09
20251105_130558,SF-10,Q6,10.84,42.72,0.00,10.84
20251105_130558,SF-10,Q9,398.22,588.69,0.14,398.36
20251105_130558,SF-10,Q13,270.10,338.56,34.44,304.54
20251105_152709,SF-1,Q1,35.23,39.30,0.00,35.23
20251105_152709,SF-1,Q3,11.15,25.37,1.93,13.08
20251105_152709,SF-1,Q6,1.79,4.07,0.00,1.79
20251105_152709,SF-1,Q9,33.26,43.81,0.03,33.29
20251105_152709,SF-1,Q13,34.05,43.37,2.25,36.3
20251225_115212,SF-1,Q1,34.00,37.82,0.00,34.00
20251225_115212,SF-1,Q3,9.92,24.51,1.21,11.13
20251225_115212,SF-1,Q6,1.72,4.82,0.00,1.72
20251225_115212,SF-1,Q9,29.91,38.21,0.02,29.93
20251225_115212,SF-1,Q13,31.21,37.38,1.75,32.96
20251225_115212,SF-10,Q1,166.57,363.28,0.00,166.57
20251225_115212,SF-10,Q3,48.39,369.24,19.11,67.5
20251225_115212,SF-10,Q6,12.91,91.78,0.00,12.91
20251225_115212,SF-10,Q9,389.64,803.61,0.21,389.85
20251225_115212,SF-10,Q13,225.58,292.40,37.44,263.02
20251225_160158,SF-1,Q1,33.25,36.16,0.00,33.25
20251225_160158,SF-1,Q3,10.35,21.54,1.28,11.63
20251225_160158,SF-1,Q6,1.77,4.49,0.00,1.77
20251225_160158,SF-1,Q9,21.46,45.53,0.03,21.49
20251225_160158,SF-1,Q13,30.66,36.88,1.70,32.36
20251225_160158,SF-10,Q1,167.57,326.46,0.01,167.58
20251225_160158,SF-10,Q3,42.35,387.86,18.42,60.77
20251225_160158,SF-10,Q6,12.26,109.80,0.00,12.26
20251225_160158,SF-10,Q9,233.24,779.07,0.19,233.43
20251225_160158,SF-10,Q13,221.60,315.42,36.51,258.11
20251225_190157,SF-1,Q1,26.83,26.84,0.00,26.83
20251225_190157,SF-1,Q3,1.65,2.90,1.25,2.9
20251225_190157,SF-1,Q6,1.65,1.65,0.00,1.65
20251225_190157,SF-1,Q9,23.97,24.00,0.03,24
20251225_190157,SF-1,Q13,21.55,23.69,2.14,23.69
20251225_190157,SF-10,Q1,157.01,157.02,0.01,157.02
20251225_190157,SF-10,Q3,17.35,38.08,20.73,38.08
20251225_190157,SF-10,Q6,9.66,9.67,0.00,9.66
20251225_190157,SF-10,Q9,364.58,364.71,0.13,364.71
20251225_190157,SF-10,Q13,215.71,249.64,33.94,249.65
20260102_110007,SF-1,Q1,26.97,26.97,0.00,26.97
20260102_110007,SF-1,Q3,1.92,3.33,1.41,3.33
20260102_110007,SF-1,Q6,1.72,1.72,0.00,1.72
20260102_110007,SF-1,Q9,25.87,25.90,0.03,25.9
20260102_110007,SF-1,Q13,21.70,24.44,2.74,24.44
20260102_110007,SF-10,Q1,157.88,157.89,0.00,157.88
20260102_110007,SF-10,Q3,18.23,37.58,19.35,37.58
20260102_110007,SF-10,Q6,9.63,9.63,0.00,9.63
20260102_110007,SF-10,Q9,349.50,349.65,0.15,349.65
20260102_110007,SF-10,Q13,214.09,230.24,16.15,230.24
